session_id,rr_2d_xy,rr_2d_xy_normalized,rr_1d_x,rr_1d_x_normalized,det_2d_xy,det_2d_xy_normalized,det_1d_x,det_1d_x_normalized,ent_2d_xy,ent_2d_xy_normalized,ent_1d_x,ent_1d_x_normalized
ad10q1,0.019209,0.1031,0.055822,0.2635,0.821998,0.8638,0.750361,0.8019,2.058734,0.6121,2.010738,0.6347
ad10q2,0.017605,0.0945,0.059683,0.2818,0.825748,0.8678,0.75374,0.8055,1.7771,0.5284,1.769862,0.5586
ad10q3,0.026621,0.1429,0.05313,0.2508,0.841004,0.8838,0.748428,0.7999,2.106352,0.6263,1.965984,0.6205
ad10q4,0.016838,0.0904,0.07218,0.3408,0.790759,0.831,0.782388,0.8362,2.199889,0.6541,2.378686,0.7508
ad10q5,0.018002,0.0966,0.041048,0.1938,0.809769,0.851,0.641488,0.6856,2.185193,0.6497,1.335476,0.4215
ad11q1,0.013663,0.0733,0.066889,0.3158,0.715728,0.7521,0.714826,0.7639,1.458067,0.4335,1.720273,0.543
ad11q2,0.017142,0.092,0.057884,0.2733,0.728814,0.7659,0.640825,0.6849,1.854088,0.5513,1.639133,0.5174
ad11q3,0.027484,0.1475,0.049709,0.2347,0.780087,0.8198,0.697463,0.7454,2.31549,0.6885,1.962329,0.6194
ad11q4,0.011694,0.0628,0.042341,0.1999,0.693369,0.7286,0.656614,0.7017,1.727745,0.5137,1.674838,0.5287
ad11q5,0.037174,0.1995,0.069868,0.3298,0.74057,0.7783,0.711209,0.7601,1.817035,0.5403,1.851012,0.5843
ad12q1,0.016421,0.0881,0.079499,0.3753,0.649046,0.6821,0.709433,0.7582,1.67939,0.4993,1.719895,0.5429
ad12q2,0.016087,0.0863,0.062734,0.2962,0.71521,0.7516,0.703734,0.7521,2.075573,0.6171,1.505673,0.4753
ad12q3,0.030497,0.1637,0.052137,0.2461,0.790419,0.8306,0.744308,0.7955,1.798304,0.5347,1.52635,0.4818
ad12q4,0.016326,0.0876,0.049078,0.2317,0.781377,0.8211,0.688215,0.7355,1.589707,0.4727,1.871152,0.5906
ad12q5,0.021566,0.1157,0.067485,0.3186,0.787086,0.8271,0.709983,0.7588,1.987637,0.591,1.639918,0.5176
ad13q1,0.021609,0.116,0.070864,0.3345,0.70915,0.7452,0.745889,0.7971,1.720683,0.5116,1.926137,0.608
ad13q2,0.016974,0.0911,0.062926,0.2971,0.714286,0.7506,0.696463,0.7443,1.696085,0.5043,1.787664,0.5643
ad13q3,0.04186,0.2246,0.05951,0.2809,0.741935,0.7797,0.708266,0.7569,1.802989,0.5361,1.556933,0.4914
ad13q4,0.015225,0.0817,0.060176,0.2841,0.739927,0.7776,0.690454,0.7379,2.213043,0.658,1.886684,0.5955
ad13q5,0.028829,0.1547,0.062471,0.2949,0.859964,0.9037,0.761392,0.8137,2.836453,0.8434,1.98233,0.6257
ad14q1,0.019246,0.1033,0.073555,0.3473,0.772496,0.8118,0.789723,0.844,1.81002,0.5382,1.936548,0.6113
ad14q2,0.030632,0.1644,0.087353,0.4124,0.838617,0.8813,0.82508,0.8818,2.17483,0.6466,2.07537,0.6551
ad14q3,0.049798,0.2672,0.102854,0.4856,0.847182,0.8903,0.869133,0.9289,2.398831,0.7132,2.457023,0.7755
ad14q4,0.015412,0.0827,0.066039,0.3118,0.74841,0.7865,0.743361,0.7944,1.871119,0.5563,1.992667,0.629
ad14q5,0.020597,0.1105,0.04785,0.2259,0.73384,0.7712,0.531915,0.5685,0.922806,0.2744,1.087419,0.3432
ad15q1,0.017793,0.0955,0.063523,0.2999,0.658915,0.6924,0.725071,0.7749,1.379402,0.4101,1.72173,0.5435
ad15q2,0.013778,0.0739,0.049796,0.2351,0.712213,0.7485,0.660756,0.7062,1.457012,0.4332,1.457886,0.4602
ad15q3,0.018333,0.0984,0.051667,0.2439,0.707071,0.743,0.651135,0.6959,1.598608,0.4753,1.62909,0.5142
ad15q4,0.013241,0.0711,0.051268,0.242,0.722222,0.759,0.649007,0.6936,1.611126,0.479,1.34464,0.4244
ad15q5,0.015783,0.0847,0.064172,0.303,0.791878,0.8322,0.645443,0.6898,2.068009,0.6149,2.051322,0.6475
ad16q1,0.032471,0.1743,0.086524,0.4085,0.820902,0.8627,0.844055,0.9021,2.437593,0.7248,2.510261,0.7923
ad16q2,0.045092,0.242,0.081917,0.3867,0.882051,0.9269,0.803811,0.859,2.606454,0.775,2.229742,0.7038
ad16q3,0.01671,0.0897,0.045656,0.2155,0.811024,0.8523,0.721422,0.771,2.319714,0.6897,1.676789,0.5293
ad16q4,0.012906,0.0693,0.038997,0.1841,0.764919,0.8038,0.645721,0.6901,1.861143,0.5534,1.485702,0.469
ad16q5,0.011519,0.0618,0.044781,0.2114,0.756839,0.7953,0.613761,0.6559,1.58521,0.4713,1.526535,0.4818
ad17q1,0.019119,0.1026,0.059041,0.2787,0.722671,0.7594,0.71062,0.7595,1.749457,0.5202,1.779924,0.5618
ad17q2,0.01636,0.0878,0.043762,0.2066,0.756184,0.7947,0.639366,0.6833,1.442408,0.4289,1.240832,0.3917
ad17q3,0.013038,0.07,0.035389,0.1671,0.744361,0.7822,0.685596,0.7327,2.006081,0.5965,1.585315,0.5004
ad17q4,0.015304,0.0821,0.049967,0.2359,0.799523,0.8402,0.64693,0.6914,1.975752,0.5874,1.715316,0.5414
ad17q5,0.010487,0.0563,0.035224,0.1663,0.70516,0.741,0.542063,0.5793,1.478667,0.4396,1.124563,0.355
ad18q1,0.011612,0.0623,0.043804,0.2068,0.703704,0.7395,0.6144,0.6566,1.237283,0.3679,1.280279,0.4041
ad18q2,0.013725,0.0737,0.052638,0.2485,0.697605,0.7331,0.686963,0.7342,1.636346,0.4865,1.646226,0.5196
ad18q3,0.018273,0.0981,0.034131,0.1611,0.775862,0.8153,0.578462,0.6182,1.406326,0.4181,1.273686,0.402
ad18q4,0.009623,0.0516,0.036595,0.1728,0.728776,0.7659,0.603943,0.6454,1.476876,0.4391,1.473823,0.4652
ad18q5,0.01554,0.0834,0.051484,0.2431,0.77971,0.8194,0.60105,0.6424,1.2804,0.3807,1.4721,0.4647
ad19q1,0.013224,0.071,0.052114,0.246,0.685039,0.7199,0.705295,0.7538,1.028839,0.3059,1.573859,0.4968
ad19q2,0.020078,0.1077,0.055781,0.2633,0.731518,0.7687,0.665266,0.711,0.962361,0.2861,1.47129,0.4644
ad19q3,0.030619,0.1643,0.086757,0.4096,0.872874,0.9173,0.881833,0.9424,2.594871,0.7715,2.93115,0.9252
ad19q4,0.012032,0.0646,0.043965,0.2076,0.702703,0.7385,0.608728,0.6506,1.720718,0.5116,1.524258,0.4811
ad19q5,0.017968,0.0964,0.047774,0.2255,0.785953,0.8259,0.700629,0.7488,1.846748,0.5491,1.882441,0.5942
ad20q1,0.011284,0.0606,0.040744,0.1923,0.711828,0.748,0.555688,0.5939,1.358831,0.404,1.225999,0.387
ad20q2,0.018758,0.1007,0.06273,0.2961,0.839196,0.8819,0.72577,0.7756,2.466015,0.7332,2.057681,0.6495
ad20q3,0.021642,0.1161,0.046709,0.2205,0.78087,0.8206,0.672844,0.7191,1.866753,0.555,1.842854,0.5817
ad20q4,0.011928,0.064,0.041232,0.1947,0.734533,0.7719,0.622519,0.6653,1.448916,0.4308,1.596471,0.5039
ad20q5,0.034501,0.1851,0.083763,0.3954,0.807595,0.8487,0.797706,0.8525,1.965656,0.5844,1.933511,0.6103
ad21q1,0.029701,0.1594,0.064174,0.303,0.818653,0.8603,0.743405,0.7945,1.844264,0.5484,1.77658,0.5608
ad21q2,0.015911,0.0854,0.044533,0.2102,0.743017,0.7808,0.630739,0.6741,1.44779,0.4305,1.369057,0.4321
ad21q3,0.019292,0.1035,0.029815,0.1408,0.801653,0.8424,0.604278,0.6458,1.313601,0.3906,1.037388,0.3274
ad21q4,0.013738,0.0737,0.044224,0.2088,0.791781,0.8321,0.6,0.6412,1.43675,0.4272,1.472624,0.4648
ad21q5,0.023978,0.1287,0.04856,0.2292,0.775744,0.8152,0.658757,0.704,1.428614,0.4248,1.101111,0.3476
ad22q1,0.016649,0.0893,0.083897,0.3961,0.734375,0.7717,0.696124,0.744,1.382345,0.411,1.90209,0.6004
ad22q2,0.021634,0.1161,0.057131,0.2697,0.718447,0.755,0.639706,0.6837,1.538989,0.4576,1.312712,0.4143
ad22q3,0.018409,0.0988,0.047568,0.2246,0.766423,0.8054,0.706215,0.7547,1.167301,0.3471,1.514258,0.478
ad22q4,0.013165,0.0706,0.044785,0.2114,0.76555,0.8045,0.644866,0.6892,1.811806,0.5387,1.430941,0.4517
ad22q5,0.017702,0.095,0.060682,0.2865,0.714702,0.7511,0.653503,0.6984,1.644637,0.489,1.763281,0.5566
ad3q1,0.054978,0.295,0.104487,0.4933,0.837788,0.8804,0.870378,0.9302,2.309868,0.6868,2.608158,0.8232
ad3q2,0.017212,0.0924,0.044565,0.2104,0.722901,0.7597,0.683979,0.731,1.733054,0.5153,1.646547,0.5197
ad3q3,0.031657,0.1699,0.055449,0.2618,0.882565,0.9275,0.773079,0.8262,2.347336,0.6979,2.154287,0.68
ad3q4,0.010389,0.0558,0.041474,0.1958,0.73103,0.7682,0.647968,0.6925,1.594095,0.474,1.589089,0.5016
ad3q5,0.015106,0.0811,0.049584,0.2341,0.764023,0.8029,0.621685,0.6644,1.863891,0.5542,1.615975,0.5101
ad4q1,0.011974,0.0643,0.046582,0.2199,0.759352,0.798,0.646474,0.6909,2.187309,0.6503,2.025055,0.6392
ad4q2,0.01322,0.0709,0.05755,0.2717,0.753612,0.792,0.738477,0.7892,1.970636,0.5859,2.007012,0.6335
ad4q3,0.01515,0.0813,0.045658,0.2156,0.814433,0.8559,0.689852,0.7373,1.590859,0.473,1.564073,0.4937
ad4q4,0.01172,0.0629,0.044863,0.2118,0.749061,0.7872,0.671835,0.718,1.788673,0.5318,1.728176,0.5455
ad4q5,0.011427,0.0613,0.035626,0.1682,0.777778,0.8174,0.62419,0.6671,2.27458,0.6763,1.477178,0.4663
ad5q1,0.017988,0.0965,0.046368,0.2189,0.771117,0.8104,0.700846,0.749,1.56596,0.4656,1.687101,0.5325
ad5q2,0.016794,0.0901,0.042446,0.2004,0.78903,0.8292,0.66778,0.7137,1.944735,0.5782,1.482429,0.4679
ad5q3,0.026997,0.1449,0.05966,0.2817,0.87152,0.9159,0.801357,0.8564,2.971498,0.8835,2.4702,0.7797
ad5q4,0.013412,0.072,0.047642,0.2249,0.80597,0.847,0.711885,0.7608,2.109513,0.6272,1.950451,0.6156
ad5q5,0.020676,0.111,0.063152,0.2981,0.805112,0.8461,0.697699,0.7456,1.671374,0.4969,1.519638,0.4797
ad6q1,0.021886,0.1174,0.066724,0.315,0.707474,0.7435,0.723926,0.7737,1.742103,0.518,2.001532,0.6318
ad6q2,0.01601,0.0859,0.040618,0.1918,0.818182,0.8598,0.712375,0.7613,1.97209,0.5864,1.546818,0.4882
ad6q3,0.01161,0.0623,0.050839,0.24,0.746094,0.7841,0.656557,0.7017,1.376635,0.4093,1.42381,0.4494
ad6q4,0.012787,0.0686,0.05481,0.2588,0.780157,0.8199,0.731224,0.7815,2.023819,0.6017,1.736701,0.5482
ad6q5,0.024365,0.1308,0.065806,0.3107,0.811966,0.8533,0.607595,0.6493,1.37915,0.4101,1.054372,0.3328
ad7q1,0.012621,0.0677,0.056692,0.2676,0.733119,0.7704,0.647817,0.6923,1.712775,0.5093,1.639989,0.5177
ad7q2,0.018763,0.1007,0.047412,0.2238,0.672444,0.7067,0.593278,0.634,1.48889,0.4427,1.427101,0.4505
ad7q3,0.019698,0.1057,0.054786,0.2586,0.734375,0.7717,0.646067,0.6905,1.179277,0.3506,1.49373,0.4715
ad7q4,0.018637,0.1,0.052751,0.249,0.83815,0.8808,0.776719,0.8301,2.1775,0.6474,2.267904,0.7158
ad7q5,0.015819,0.0849,0.050814,0.2399,0.783673,0.8235,0.682338,0.7292,2.022284,0.6013,1.617416,0.5105
ad8q1,0.016029,0.086,0.048648,0.2297,0.769072,0.8082,0.665761,0.7115,1.866353,0.5549,1.800465,0.5683
ad8q2,0.033179,0.1781,0.076871,0.3629,0.901163,0.947,0.804266,0.8595,2.705883,0.8045,2.576535,0.8133
ad8q3,0.010314,0.0554,0.040208,0.1898,0.691235,0.7264,0.585079,0.6253,1.528384,0.4544,1.393743,0.4399
ad8q4,0.015481,0.0831,0.050635,0.239,0.755459,0.7939,0.619493,0.6621,1.818036,0.5406,1.55099,0.4896
ad8q5,0.018473,0.0991,0.051058,0.241,0.737356,0.7749,0.660353,0.7057,1.698311,0.505,1.600702,0.5053
ad9q1,0.028355,0.1522,0.075085,0.3545,0.786667,0.8267,0.767372,0.8201,2.075592,0.6171,1.909571,0.6027
ad9q2,0.024742,0.1328,0.058918,0.2781,0.870504,0.9148,0.746224,0.7975,1.900946,0.5652,1.68967,0.5333
ad9q3,0.026219,0.1407,0.042588,0.2011,0.851351,0.8947,0.705491,0.754,2.008807,0.5973,1.809291,0.5711
ad9q4,0.01155,0.062,0.050733,0.2395,0.724426,0.7613,0.650665,0.6954,1.741948,0.5179,1.71977,0.5428
ad9q5,0.025766,0.1383,0.096249,0.4544,0.787234,0.8273,0.794955,0.8496,1.116725,0.332,1.756567,0.5544
n1q1,0.029687,0.1593,0.052187,0.2464,0.684211,0.719,0.670659,0.7167,1.066615,0.3171,1.066378,0.3366
n1q2,0.02937,0.1576,0.054824,0.2588,0.812121,0.8534,0.737013,0.7877,2.039294,0.6063,1.613733,0.5094
n1q3,0.054108,0.2904,0.075751,0.3576,0.864789,0.9088,0.859155,0.9182,2.33181,0.6933,2.20773,0.6969
n1q4,0.080831,0.4338,0.169584,0.8006,0.878684,0.9234,0.86769,0.9273,3.043244,0.9048,2.92374,0.9229
n1q5,0.02321,0.1246,0.058123,0.2744,0.726496,0.7635,0.658703,0.704,1.378783,0.41,1.248365,0.394
n10q1,0.057138,0.3066,0.088288,0.4168,0.875389,0.9199,0.868952,0.9287,2.456592,0.7304,3.089569,0.9752
n10q2,0.033611,0.1804,0.065498,0.3092,0.811966,0.8533,0.824561,0.8812,1.960323,0.5829,2.091607,0.6602
n10q3,0.031954,0.1715,0.048355,0.2283,0.769912,0.8091,0.727096,0.7771,1.856861,0.5521,1.577902,0.4981
n10q4,0.134667,0.7227,0.160173,0.7562,0.891773,0.9371,0.871402,0.9313,2.521892,0.7498,2.369388,0.7479
n10q5,0.040721,0.2185,0.065866,0.311,0.797235,0.8378,0.692308,0.7399,1.710054,0.5084,1.575924,0.4974
n11q1,0.06482,0.3479,0.085873,0.4054,0.846154,0.8892,0.845161,0.9032,2.722604,0.8095,2.902646,0.9162
n11q2,0.044488,0.2387,0.064887,0.3063,0.897561,0.9432,0.812709,0.8686,2.639243,0.7847,2.106319,0.6648
n11q3,0.044054,0.2364,0.059245,0.2797,0.827586,0.8697,0.791209,0.8456,2.227075,0.6622,2.006048,0.6332
n11q4,0.128076,0.6873,0.164108,0.7748,0.940022,0.9879,0.936639,1.0,3.209038,0.9541,3.109913,0.9816
n11q5,0.054665,0.2934,0.084712,0.3999,0.833718,0.8761,0.818182,0.8744,2.293243,0.6818,2.049517,0.6469
n12q1,0.040972,0.2199,0.070139,0.3311,0.816949,0.8585,0.760396,0.8126,1.850677,0.5503,1.656558,0.5229
n12q2,0.060464,0.3245,0.098251,0.4638,0.873278,0.9177,0.874062,0.9341,2.641615,0.7854,2.545304,0.8034
n12q3,0.042881,0.2301,0.058615,0.2767,0.891473,0.9368,0.799622,0.8546,2.383952,0.7088,2.08174,0.6571
n12q4,0.113349,0.6083,0.152893,0.7218,0.91519,0.9618,0.902215,0.9642,2.689255,0.7996,2.615213,0.8255
n12q5,0.046756,0.2509,0.107556,0.5078,0.91635,0.963,0.904132,0.9663,2.710495,0.8059,2.972026,0.9381
n13q1,0.06,0.322,0.07551,0.3565,0.884354,0.9294,0.854054,0.9127,2.15633,0.6411,1.937506,0.6116
n13q2,0.0338,0.1814,0.0714,0.3371,0.83432,0.8768,0.862745,0.922,2.086246,0.6203,2.032862,0.6417
n13q3,0.037438,0.2009,0.055465,0.2619,0.88122,0.9261,0.863489,0.9228,2.594823,0.7715,2.429498,0.7669
n13q4,0.087466,0.4694,0.153778,0.726,0.901389,0.9473,0.919888,0.9831,2.861989,0.8509,2.90109,0.9157
n13q5,0.037345,0.2004,0.06995,0.3302,0.845201,0.8882,0.775207,0.8285,1.913167,0.5688,1.659982,0.524
n14q1,0.045536,0.2444,0.082076,0.3875,0.908815,0.9551,0.841484,0.8993,2.742688,0.8155,2.653812,0.8377
n14q2,0.030901,0.1658,0.05687,0.2685,0.797872,0.8385,0.687861,0.7351,1.951737,0.5803,1.50273,0.4743
n14q3,0.035402,0.19,0.070387,0.3323,0.847059,0.8902,0.807692,0.8632,2.528147,0.7517,1.989555,0.628
n14q4,0.190709,1.0,0.286954,1.0,0.922476,0.9694,0.950921,1.0,2.94229,0.8748,3.09383,0.9765
n14q5,0.030937,0.166,0.073438,0.3467,0.838384,0.881,0.804255,0.8595,2.039963,0.6065,1.87003,0.5903
n15q1,0.044039,0.2363,0.063373,0.2992,0.825417,0.8674,0.839429,0.8971,2.507056,0.7454,2.277119,0.7188
n15q2,0.029514,0.1584,0.053602,0.2531,0.852941,0.8963,0.773279,0.8264,1.744802,0.5188,1.786764,0.564
n15q3,0.040778,0.2188,0.071834,0.3391,0.888545,0.9338,0.757469,0.8095,2.456089,0.7303,2.125049,0.6708
n15q4,0.140192,0.7523,0.18818,0.8884,0.899906,0.9457,0.915251,0.9781,2.728949,0.8114,3.071811,0.9696
n15q5,0.0288,0.1546,0.044,0.2077,0.805556,0.8465,0.690909,0.7384,0.721928,0.2146,0.991264,0.3129
n16q1,0.058125,0.3119,0.075938,0.3585,0.876344,0.9209,0.851852,0.9104,2.244081,0.6672,1.979612,0.6249
n16q2,0.031358,0.1683,0.063951,0.3019,0.826772,0.8688,0.722008,0.7716,1.964209,0.584,1.815461,0.573
n16q3,0.038446,0.2063,0.055622,0.2626,0.896907,0.9425,0.76247,0.8149,1.802473,0.5359,1.659836,0.5239
n16q4,0.199197,1.0,0.212014,1.0,0.90626,0.9524,0.921584,0.9849,3.002408,0.8927,3.021284,0.9536
n16q5,0.036235,0.1945,0.067888,0.3205,0.862069,0.9059,0.730061,0.7802,1.685816,0.5012,1.951737,0.6161
n17q1,0.033241,0.1784,0.076208,0.3598,0.799127,0.8398,0.809524,0.8652,1.661639,0.4941,2.442706,0.771
n17q2,0.044384,0.2382,0.072264,0.3412,0.884477,0.9295,0.840355,0.8981,2.034491,0.6049,2.064169,0.6515
n17q3,0.04142,0.2223,0.052926,0.2499,0.865079,0.9091,0.78882,0.843,2.169414,0.645,1.863882,0.5883
n17q4,0.140551,0.7543,0.166119,0.7842,0.841996,0.8848,0.827397,0.8843,2.445603,0.7271,2.391529,0.7549
n17q5,0.047743,0.2562,0.075521,0.3565,0.872727,0.9171,0.747126,0.7985,1.37789,0.4097,1.717986,0.5423
n18q1,0.063889,0.3429,0.077778,0.3672,0.886957,0.9321,0.878571,0.9389,2.326383,0.6917,1.789089,0.5647
n18q2,0.042181,0.2264,0.068416,0.323,0.914634,0.9612,0.817043,0.8732,2.701183,0.8031,1.944501,0.6138
n18q3,0.041378,0.2221,0.062802,0.2965,0.817259,0.8588,0.80602,0.8614,1.333717,0.3966,1.582703,0.4996
n18q4,0.185287,0.9943,0.196306,0.9268,0.916024,0.9626,0.91658,0.9796,3.14907,0.9363,2.944574,0.9294
n18q5,0.02852,0.1531,0.058397,0.2757,0.84127,0.8841,0.596899,0.6379,0.918296,0.273,1.546594,0.4882
